Итоговые значения:

       Система     |Наименование                                                                                    |Шифр                                                            |Тип                      |Статус|Ревизия                                   |Срок                                     |
0    | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
1    | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
2    | СКУ ВХР     |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
3    | КЭ СУЗ      |-                                                                                               |-                                                               |Схема электрическая      |-     |-                                         |-                                        |
4    | СВБУ        |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
5    | СВБУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
6    | СВБУ        |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
7    | СКУ МПУ ОС  |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
8    | СКУ МПУ ОС  |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
9    | СКУ МПУ ОС  |-                                                                                               |-                                                               |ТЗА                      |-     |-                                         |-                                        |
10   | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
11   | СВБУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
12   | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
13   | СВБУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
14   | СВБУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
15   | СВБУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
16   | СВБУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
17   | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
18   | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
19   | СВБУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
20   | СВБУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
21   | СВБУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
22   | СВБУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
23   | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
24   | СВБУ        |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
25   | СВБУ        |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
26   | СВБУ        |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
27   | СВБУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
28   | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
29   | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
30   | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
31   | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
32   | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
33   | СКУ ПЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
34   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
35   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
36   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
37   | СКУ ПЗ      |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
38   | СКУ ПЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
39   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
40   | СКУ ПЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
41   | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
42   | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
43   | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
44   | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
45   | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
46   | СКУ ВХР     |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
47   | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
48   | СВСУ        |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
49   | СВСУ        |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
50   | СВСУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
51   | СВСУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
52   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Комплектация/спецификация|-     |-                                         |-                                        |
53   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |-                                         |-                                        |
54   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |-                                         |-                                        |
55   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
56   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
57   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |-                                        |
58   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
59   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
60   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
61   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
62   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
63   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
64   | СКУ ПЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
65   | СКУ ПЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
66   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
67   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
68   | СКУ ПЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
69   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
70   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
71   | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
72   | СКУ НЭ      |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
73   | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
74   | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
75   | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
76   | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
77   | СКУ ВХР     |-                                                                                               |-                                                               |Не определено            |-     |-                                         |-                                        |
78   | СВСУ        |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
79   | СВСУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
80   | СВСУ        |-                                                                                               |-                                                               |Принципиальная схема     |-     |-                                         |-                                        |
81   | СВСУ        |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
82   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
83   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |-                                         |-                                        |
84   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
85   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |-                                         |-                                        |
86   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
87   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |-                                         |-                                        |
88   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема подключений        |-     |-                                         |-                                        |
89   | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |КЖ                       |-     |-                                         |-                                        |
