Пропущенные значения, которые есть в отчете, но нет в РД (J, E):

       Коды работ по выпуску РД|
0    | 10UQA.E.H00.D-1000      |
1    | 10UQA.E.B00.D-1150      |
2    | 10UQA.E.BA1.D-1020      |
3    | 10UQA.J.CYE.D-1110      |
4    | 11UQZ.E.000.D-1040      |
5    | 11UQZ.J.CYE.D-1010      |
6    | 11UQZ.J.CYE.D-1000      |
7    | 11UQZ.J.CYE.D-1020      |
8    | 12UQZ.E.000.D-1040      |
9    | 12UQZ.J.CYE.D-1010      |
10   | 12UQZ.J.CYE.D-1000      |
11   | 12UQZ.J.CYE.D-1020      |
12   | 13UPZ.E.B00.D-1000      |
13   | 13UPZ.E.B00.D-1020      |
14   | 14UPZ.E.B00.D-1000      |
15   | 14UPZ.E.B00.D-1020      |
16   | 51UBZ.E.B00.D-1000      |
17   | 51UBZ.E.B00.D-1020      |
18   | 52UBZ.E.B00.D-1000      |
19   | 52UBZ.E.B00.D-1020      |
20   | 11UQC.E.BA1.D-1020      |
21   | 11UQC.J.C00.D-1290      |
22   | 11UQC.J.C00.D-1300      |
23   | 12UQC.J.C00.D-1310      |
24   | 12UQC.J.C00.D-1320      |
25   | 12UQC.J.CA0.D-1210      |
26   | 00UAC.E.APA.D-1190      |
27   | 01UAF.E.EEE.D-1000      |
28   | 02UAF.E.EEE.D-1000      |
29   | 10UBA.E.B00.D-1520      |
30   | 10UBA.E.BJ0.D-1000      |
31   | 10UBA.E.B00.D-2770      |
32   | 10UBA.E.B00.D-1250      |
33   | 10UBA.E.B00.D-2740      |
34   | 10UBA.E.B00.D-2750      |
35   | 10UBA.E.B00.D-1340      |
36   | 10UBA.E.CA0.D-1000      |
37   | 10UBA.E.CA0.D-1010      |
38   | 10UBA.E.CA0.D-1020      |
39   | 10UBA.E.BA0.D-1030      |
40   | 10UBA.E.BA0.D-1040      |
41   | 10UBA.E.BA0.D-1050      |
42   | 10UBA.E.BA0.D-1090      |
43   | 10UBA.E.BA0.D-1110      |
44   | 10UBA.E.CA0.D-1100      |
45   | 10UBA.E.B00.D-1640      |
46   | 10UBA.E.CF0.D-1000      |
47   | 10UBA.E.CA0.D-2710      |
48   | 10UBA.E.B00.D-1711      |
49   | 10UBA.E.CA0.D-2700      |
50   | 10UBA.E.B00.D-1710      |
51   | 10UBA.E.B00.D-1650      |
52   | 10UBA.E.B00.D-1560      |
53   | 10UBA.E.B00.D-1600      |
54   | 10UBA.E.B00.D-1660      |
55   | 10UBA.E.B00.D-1610      |
56   | 10UBA.E.B00.D-1620      |
57   | 10UBA.E.B00.D-1930      |
58   | 10UBA.E.B00.D-1120      |
59   | 10UBA.E.B00.D-1670      |
60   | 10UBA.E.B00.D-1150      |
61   | 10UBA.E.B00.D-1160      |
62   | 10UBA.E.B00.D-1170      |
63   | 10UBA.E.B00.D-1690      |
64   | 10UBA.E.B00.D-2690      |
65   | 10UBA.E.B00.D-1680      |
66   | 10UBA.E.B00.D-1700      |
67   | 10UBA.E.B00.D-1210      |
68   | 10UBA.E.B00.D-2450      |
69   | 10UBA.E.B00.D-1720      |
70   | 10UBA.E.B00.D-2250      |
71   | 10UBA.E.B00.D-1040      |
72   | 10UBA.E.B00.D-1200      |
73   | 10UBA.J.CVE.D-2010      |
74   | 10UBA.J.CVE.D-2000      |
75   | 10UBF.J.CY0.D-1040      |
76   | 13UBN.E.B00.D-1020      |
77   | 01UUB.E.H00.D-1010      |
78   | 00UEL.E.B00.D-1080      |
79   | 02UGT.J.GQB.D-1000      |
80   | 02UGT.J.GQB.D-1020      |
81   | 02UGT.E.GQB.D-1040      |
82   | 02UGT.E.GQB.D-1060      |
83   | 02UGT.J.GQB.D-1010      |
84   | 02UGT.J.GQB.D-1030      |
85   | 02UGT.E.GQB.D-1050      |
86   | 02UGT.E.GQB.D-1070      |
87   | 02UGT.J.GUD.D-1110      |
88   | 02UGT.J.GUD.D-1130      |
89   | 02UGT.E.GUD.D-1010      |
90   | 02UGT.J.GUD.D-1150      |
91   | 02UGT.E.GUD.D-1070      |
92   | 02UGT.E.GUD.D-1090      |
93   | 02UGT.E.GUD.D-1030      |
94   | 02UGT.E.GUD.D-1050      |
95   | 02UGT.J.GUD.D-1070      |
96   | 02UGT.J.GUD.D-1090      |
97   | 02UGT.J.GUD.D-1120      |
98   | 02UGT.J.GUD.D-1140      |
99   | 02UGT.E.GUD.D-1020      |
100  | 02UGT.J.GUD.D-1160      |
101  | 02UGT.E.GUD.D-1080      |
102  | 02UGT.E.GUD.D-1100      |
103  | 02UGT.E.GUD.D-1040      |
104  | 02UGT.E.GUD.D-1060      |
105  | 02UGT.J.GUD.D-1080      |
106  | 02UGT.J.GUD.D-1100      |
107  | 01UGZ.E.EEE.D-1000      |
108  | 02UGZ.E.H00.D-1010      |
109  | 03UGZ.E.EEE.D-1000      |
110  | 01UGW.J.CM0.D-1000      |
111  | 01UGW.E.BA0.D-1000      |
112  | 01UGW.E.B00.D-1000      |
113  | 06UGG.E.B00.D-1000      |
